Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Bromley,Copers Cope,38,4681.8,375,8104,55310,5.0,12.1,16.3,1098,71.1,71,3.5,17.1
Bromley,Cray Valley East,38,1165.4,168,6693,40390,8.7,27.9,29.9,1799,116.1,62,5.7,76.4
Bromley,Cray Valley West,37,4320.5,169,6776,39760,8.9,28.5,29.2,1414,83.9,59,6.3,24.2
Bromley,Crystal Palace,34,5347.8,509,6112,42730,10.4,16.9,30.9,1349,109.7,109,5.3,49.3
Bromley,Darwin,46,177.6,9,2082,54780,4.2,21.9,8.6,302,58.6,4,3.5,88.8
Bromley,Farnborough and Crofton,45,2100.0,88,6144,57400,4.7,18.1,8.7,573,39.0,16,3.7,49.7
Bromley,Hayes and Coney Hall,43,1476.9,64,6110,59000,4.8,15.7,6.8,582,36.5,18,3.1,69.5
Bromley,Kelsey and Eden Park,42,3067.3,157,6382,57560,4.8,17.1,8.1,1254,78.6,43,3.6,43.6
Bromley,Mottingham and Chislehurst North,36,4187.5,152,4257,40510,9.6,26.0,31.1,961,95.6,40,5.9,44.4
Bromley,Orpington,42,3581.4,145,6341,48100,7.1,22.3,19.7,1249,81.1,48,4.5,26.3
Bromley,Penge and Cator,35,5800.0,492,7672,45390,9.8,17.0,25.3,1719,98.8,97,4.8,25.2
Bromley,Petts Wood and Knoll,44,3186.0,99,5445,63410,4.0,15.2,4.8,524,38.2,15,3.1,24.6
Bromley,Plaistow and Sundridge,38,3800.0,255,6529,50000,6.8,18.6,17.1,904,59.5,59,4.8,40.5
Bromley,Shortlands,43,3940.0,149,4186,62610,4.5,12.1,4.8,261,26.5,10,2.9,3.1
Bromley,West Wickham,44,3397.7,76,5714,59830,4.1,15.2,4.1,606,40.5,20,3.1,32.6
Camden,Belsize,35,15875.0,856,6131,84280,5.6,8.4,20.0,814,64.1,37,3.9,1.3
Camden,Bloomsbury,29,10800.0,941,4819,62190,9.8,7.8,14.3,4628,428.5,162,4.6,9.2
Camden,Camden Town with Primrose Hill,34,10541.7,716,5905,71650,6.9,11.7,31.1,5264,416.1,879,5.6,15.2
Camden,Cantelowes,31,14875.0,644,5094,60060,8.9,13.9,32.8,1248,104.9,112,6.4,7.4
Camden,Fortune Green,33,11750.0,859,5324,73370,6.4,9.2,22.2,904,76.9,43,4.5,18.0
Camden,Frognal and Fitzjohns,36,7966.7,719,4940,99430,5.0,6.1,5.5,782,65.4,11,2.6,5.7
Camden,Gospel Oak,35,16071.4,511,4912,61590,9.1,17.8,32.3,858,76.3,74,8.0,15.9
Camden,Hampstead Town,38,4520.0,543,5200,104710,4.0,6.1,5.3,1249,110.5,27,3.4,54.2
Camden,Haverstock,32,17642.9,561,5254,54740,10.5,18.6,41.8,1425,115.4,145,7.4,8.2
Camden,Highgate,40,3421.9,265,4788,75250,7.2,12.6,21.6,986,90.0,28,6.0,65.2
Camden,Holborn and Covent Garden,33,10833.3,996,6114,61920,8.7,12.9,34.6,5884,452.6,267,6.3,7.5
Camden,Kentish Town,32,13400.0,601,5793,63670,6.6,13.6,30.2,1654,123.4,133,5.5,5.3
Camden,Kilburn,33,17214.3,1079,5758,53190,9.8,17.4,44.3,1568,130.1,117,7.7,13.4
Camden,King's Cross,26,19583.3,1031,4594,50390,13.5,12.1,25.3,1906,162.2,118,5.2,13.5
Camden,Regent's Park,30,10384.6,876,5602,52460,10.7,17.5,32.4,2230,165.2,256,6.2,27.0
Camden,St. Pancras and Somers Town,30,9857.1,1001,5588,46850,12.7,22.7,41.1,1534,111.2,114,8.2,13.5
Camden,Swiss Cottage,34,9923.1,1041,5860,79860,5.6,9.0,21.3,1088,84.3,38,3.8,14.5
Camden,West Hampstead,32,13388.9,815,5858,72450,6.2,9.5,30.0,1074,89.1,63,5.2,8.8
Croydon,Addiscombe,34,10593.8,771,7553,46520,8.1,15.3,20.8,1141,67.3,73,4.8,2.3
Croydon,Ashburton,38,5481.5,266,5532,47220,8.0,19.5,20.5,900,60.8,66,4.4,22.2
Croydon,Bensham Manor,33,11607.1,767,5952,40730,11.0,17.9,22.9,1200,73.8,108,4.7,7.7
Croydon,Broad Green,31,6925.9,1185,7029,37670,12.0,20.2,24.7,3768,201.5,320,5.2,4.5
